dist_code,hlcit_code,district,vdc,priority,above_1500,num_hh_damage,pct_damage,target_hh,in_db,map_cd,census_hh_dmg,hh_above_1500,hh_below_1500
524 2 05 24,524 2 05 24 5 054,Kavrepalanchok,Dhunkharka,t,t,850,,,f,-1,,2070,
524 2 04 22,524 2 04 22 5 030,Dolakha,Lakuridanda,t,t,1512,,,f,-1,,1848,
524 2 05 28,524 2 05 28 5 009,Nuwakot,Talakhu,t,t,688,,,f,-1,,1376,
524 2 04 22,524 2 04 22 5 037,Dolakha,Sundrawati,t,t,1076,,,f,-1,,1354,
524 1 03 13,524 1 03 13 5 028,Okhaldhunga,Palte,t,t,713,,,f,-1,,1438,
524 2 05 24,524 2 05 24 5 032,Kavrepalanchok,Mahankal Chaur,t,t,267,,,f,-1,,1574,
524 2 05 25,524 2 05 25 5 018,Lalitpur,Kaleswor,t,t,75,,,f,-1,,592,
524 2 04 22,524 2 04 22 5 029,Dolakha,Alampu,t,t,899,,,f,-1,,826,
524 1 03 13,524 1 03 13 5 042,Okhaldhunga,Bilandu,t,t,586,,,f,-1,,968,
524 2 05 25,524 2 05 25 5 012,Lalitpur,Manikhel,t,t,102,,,f,-1,,792,
524 2 04 22,524 2 04 22 5 008,Dolakha,Chankhu,t,t,491,,,f,-1,,694,
524 2 05 25,524 2 05 25 5 001,Lalitpur,Bhattedanda,t,t,110,,,f,-1,,858,
524 2 04 21,524 2 04 21 5 022,Ramechhap,Rasanalu,t,t,921,,,f,-1,,2052,
524 2 05 24,524 2 05 24 5 065,Kavrepalanchok,Mahendra Jyoti,t,t,775,,,f,-1,,1322,
524 2 04 22,524 2 04 22 5 004,Dolakha,Mirge,t,t,993,,,f,-1,,1758,
524 2 05 23,524 2 05 23 5 056,Sindhupalchok,Palchok,t,t,479,,,f,-1,,978,
524 1 03 13,524 1 03 13 5 003,Okhaldhunga,Okhaldhunga,t,t,0,1,,f,-1,,2716,
524 2 04 22,524 2 04 22 5 017,Dolakha,Jhule,t,t,700,,,f,-1,,1094,
524 2 05 29,524 2 05 29 5 008,Rasuwa,Ramche,t,t,999,,,f,-1,,978,
524 2 05 23,524 2 05 23 5 008,Sindhupalchok,Dhumthang,t,t,1575,,,f,-1,,1702,
524 2 05 24,524 2 05 24 5 010,Kavrepalanchok,Sanowangthali,t,t,410,,,f,-1,,686,
524 2 05 24,524 2 05 24 5 086,Kavrepalanchok,Bekhsimle Ghartigaun,t,t,323,,,f,-1,,512,
524 2 05 27,524 2 05 27 5 040,Kathmandu,Dahachok,t,f,227,,,f,-4,,1756,
524 2 05 27,524 2 05 27 5 032,Kathmandu,Jitpurphedi,t,f,285,,,f,-4,,2206,
524 2 05 24,524 2 05 24 5 059,Kavrepalanchok,Baluwapati Deupur,t,f,1356,,,f,-4,,2584,
524 2 05 23,524 2 05 23 5 016,Sindhupalchok,Chokati,t,t,1429,0.41987403778866339,600,t,0.41987403778866339,,1254,
524 1 03 13,524 1 03 13 5 025,Okhaldhunga,Khiji Chandeshwori,t,t,340,0.43235294117647061,147,t,0.43235294117647061,,550,
524 1 03 13,524 1 03 13 5 023,Okhaldhunga,Bhussinga,t,t,347,0.71469740634005763,248,t,0.71469740634005763,,644,
524 2 05 24,524 2 05 24 5 064,Kavrepalanchok,Ryale,t,t,1037,2.2835101253616199,2368,t,2.2835101253616199,,1954,
524 2 06 31,524 2 06 31 5 030,Makwanpur,Daman,t,t,2256,0.16622340425531915,375,t,0.16622340425531915,,3826,
524 2 05 23,524 2 05 23 5 048,Sindhupalchok,Nawalpur,t,f,1721,0.5334108076699593,918,t,-2,,1594,
524 2 05 25,524 2 05 25 5 011,Lalitpur,Ikudol,t,f,100,,,f,-4,,774,
524 2 04 20,524 2 04 20 5 003,Sindhuli,Mahadevdada,t,f,474,,,f,-4,,1314,
524 1 03 13,524 1 03 13 5 001,Okhaldhunga,Barnalu,t,f,0,1,,f,-4,,1388,
524 2 05 27,524 2 05 27 5 054,Kathmandu,Daxinkali,t,f,253,0.14229249011857709,36,t,-2,,1968,
524 2 05 30,524 2 05 30 5 040,Dhading,Mahadevsthan,t,f,1017,,,f,-4,,2486,
524 1 03 13,524 1 03 13 5 002,Okhaldhunga,Jyamire,t,f,1199,,,f,-4,,424,666
524 1 03 13,524 1 03 13 5 005,Okhaldhunga,Salleri,t,t,0,1,,f,-1,,652,186
524 1 03 13,524 1 03 13 5 006,Okhaldhunga,Diyale,t,f,314,,,f,-4,,94,934
524 1 03 13,524 1 03 13 5 007,Okhaldhunga,Kuibhir,t,f,258,,,f,-4,,448,370
524 1 03 13,524 1 03 13 5 008,Okhaldhunga,Mamkha,t,f,434,,,f,-4,,850,604
524 1 03 13,524 1 03 13 5 009,Okhaldhunga,Pokhare,t,f,203,,,f,-4,,70,592
524 1 03 13,524 1 03 13 5 010,Okhaldhunga,Ratmata,t,f,342,,,f,-4,,496,398
524 1 03 13,524 1 03 13 5 011,Okhaldhunga,Serna,t,f,312,,,f,-4,,348,338
524 1 03 13,524 1 03 13 5 012,Okhaldhunga,Bhadaure,t,f,317,,,f,-4,,320,806
524 1 03 13,524 1 03 13 5 013,Okhaldhunga,Taluwa,t,f,494,,,f,-4,,368,526
524 1 03 13,524 1 03 13 5 014,Okhaldhunga,Thulachhap,t,f,582,,,f,-4,,762,724
524 1 03 13,524 1 03 13 5 015,Okhaldhunga,Baruneshwor,t,f,946,,,f,-4,,1150,468
524 1 03 13,524 1 03 13 5 018,Okhaldhunga,Kuntadevi,t,f,669,,,f,-4,,284,882
524 1 03 13,524 1 03 13 5 019,Okhaldhunga,Ragadeep,t,t,409,,,f,-1,,672,238
524 1 03 13,524 1 03 13 5 021,Okhaldhunga,Prapcha,t,f,324,,,f,-4,,198,344
524 1 03 13,524 1 03 13 5 029,Okhaldhunga,Baksa,t,f,600,,,f,-4,,606,486
524 1 03 13,524 1 03 13 5 030,Okhaldhunga,Moli,t,f,440,,,f,-4,,280,538
524 1 03 13,524 1 03 13 5 031,Okhaldhunga,Ubu,t,f,731,,,f,-4,,580,870
524 1 03 13,524 1 03 13 5 032,Okhaldhunga,Betini,t,f,1060,,,f,-4,,568,350
524 1 03 13,524 1 03 13 5 033,Okhaldhunga,Madhavpur,t,t,407,,,f,-1,,606,394
524 1 03 13,524 1 03 13 5 034,Okhaldhunga,Manebhanjyang,t,t,385,,,f,-1,,954,292
524 2 04 20,524 2 04 20 5 053,Sindhuli,Sitalpati,t,f,947,,,f,-4,,170,1454
524 2 04 21,524 2 04 21 5 001,Ramechhap,Ramechhap,t,f,2601,,,f,-4,,1036,1270
524 2 04 21,524 2 04 21 5 002,Ramechhap,Kathjor,t,f,0,1,,f,-4,,472,1396
524 2 04 21,524 2 04 21 5 003,Ramechhap,Salu,t,f,0,1,,f,-4,,1200,328
524 2 04 21,524 2 04 21 5 005,Ramechhap,Okhreni,t,f,0,1,,f,-4,,1264,220
524 2 04 21,524 2 04 21 5 006,Ramechhap,Deurali,t,f,1117,,,f,-4,,766,638
524 2 04 21,524 2 04 21 5 007,Ramechhap,Himganga,t,f,845,,,f,-4,,730,968
524 2 04 21,524 2 04 21 5 008,Ramechhap,Rampur,t,f,399,,,f,-4,,668,1048
524 2 04 21,524 2 04 21 5 009,Ramechhap,Sanghutar,t,f,528,,,f,-4,,32,968
524 2 04 21,524 2 04 21 5 010,Ramechhap,Sukajor,t,t,0,1,,f,-1,,682,830
524 2 04 21,524 2 04 21 5 012,Ramechhap,Bijulikot,t,f,1252,,,f,-4,,1724,450
524 2 04 21,524 2 04 21 5 014,Ramechhap,Gothgaun,t,f,658,,,f,-4,,672,460
524 2 04 21,524 2 04 21 5 024,Ramechhap,Betali,t,t,1209,,,f,-1,,1478,426
524 2 04 21,524 2 04 21 5 025,Ramechhap,Khimti,t,t,1047,,,f,-1,,1036,900
524 2 05 23,524 2 05 23 5 040,Sindhupalchok,Kadambas,t,f,817,,,f,-4,,706,962
524 2 05 23,524 2 05 23 5 041,Sindhupalchok,Thulo Sirubari,t,f,3360,,,f,-4,,878,1784
524 2 05 23,524 2 05 23 5 042,Sindhupalchok,Sangachok,t,f,5085,,,f,-4,,1176,3080
524 2 05 23,524 2 05 23 5 055,Sindhupalchok,Dubachour,t,t,3298,,,f,-1,,2056,694
524 2 05 23,524 2 05 23 5 062,Sindhupalchok,Sindhukot,t,t,0,1,,f,-1,,1016,346
524 2 05 23,524 2 05 23 5 063,Sindhupalchok,Bhotechaur,t,t,2803,,,f,-1,,1210,938
524 2 05 23,524 2 05 23 5 066,Sindhupalchok,Bansbari,t,f,0,1,,f,-4,,530,1674
524 2 05 24,524 2 05 24 3 001,Kavrepalanchok,Dhulikhel Municipality,t,f,1992,,,f,-4,,6136,422
524 2 05 24,524 2 05 24 3 003,Kavrepalanchok,Banepa Municipality,t,t,1558,,,f,-1,,4182,6898
